API,Tier,Feature,ComplianceAreas,PrimaryControls,Notes
SafeNow,Gold,Consent Vault,"FTC Privacy; State Breach Laws","Encryption at rest; Access logging; Retention controls","Breach-notify webhook; minimal PII"
TalentFlow,Gold,Royalty Splits,"DMCA; PRO Licensing","Audit trail; Content metadata","Support takedown receipts"
EduPass,Gold,Student Credentials,FERPA,"Access controls; Minimal disclosure","Parental consent flows where required"
HomeSphere,Gold,Smart Home Security,"FTC IoT Guidance; NIST CSF","Device identity; Firmware integrity","Telemetry minimization"
RetailSync,Gold,Inventory & Loyalty,"PCI DSS; FTC advertising","Payment tokenization; Consented marketing","Advertising disclaimers"
FutureWealthBot,Platinum,Trading Insights,"SEC; CFTC; FinCEN","KYC; Transaction monitoring; Risk disclosures","Wallet integrations"
GameConnect,Platinum,Matchmaking,"COPPA; ESRB","Age-gating; Parental consent","Esports content advisory metadata"
SafePay,Platinum,Escrow & Splits,"CFPB Reg E; BSA","KYC; AML monitoring; Audit logs","Dispute workflows"
MediBridge,Platinum,Telehealth & BNPL,"HIPAA; HITECH; FDA","PHI controls; BAA; Encrypted messaging","Clinical consent and scheduling"
EduAI,Platinum,AI Tutoring,"FERPA; COPPA; ADA","Age verification; Accessibility features","Model explainability for outcomes"
CreditLending,Platinum,Credit & Lending,"FCRA; TILA; ECOA; CFPB","Adverse action workflows; Secure data storage","Loan disclosures and audit trails"
MH_Therapy,Platinum,Mental Health Suite,"HIPAA; HITECH; CMS; State Boards","PHI handling; Clinician verification","Crisis routing and escalation"
IDChain,Enterprise,Biometric Identity,"REAL ID Act; NIST","Privacy-preserving biometric storage; Consent","Hash-only storage; opt-in"
CivicWatch,Enterprise,Civic Reporting,"Whistleblower Act; FOIA","Confidential intake; Evidence custody","Redaction tools"
MissionAPI,Enterprise,Drone Orchestration,FAA Part 107,"Airspace compliance; Mission logs","Geofencing; Emergency overrides"
LegalTrust,Enterprise,Contracts & Signatures,"E-SIGN Act; UETA","Tamper-evident signing; Audit trails","Archived signed PDFs"
AgriChain,Enterprise,AgTech Supply Chain,"USDA; FDA FSMA","Immutable logs; Traceability","Cold-chain telemetry"
TransitFlow,Enterprise,Mobility & Logistics,"DOT; EPA emissions","Driver logs; Emissions monitoring","Route optimization with compliance"
ClimateProof,Enterprise,Carbon Credits & ESG,"SEC ESG; EPA","Verifiable measurement; Audit trail","Offset provenance"
PatentTech,Enterprise,Patent Filing & Management,"USPTO; Patent Act; E-SIGN","Document integrity; Filing provenance","Prior-art indexing"
AI_Regulation,Enterprise,AI Disclosure & Audit,"FTC; Civil Rights; ADA; FCRA; Colorado SB 205; NYC","Model cards; Audit trails; Consent","Evidence vault for datasets & models"
